Rank,URL,Title,Country,Air Date,Time Slot,Episodes,Runtime,Network,Director,Writer,Leads,Leads_Likes,Leads_Max,Score,Voter,Watchers,Genre,Tag
21,https://mydramalist.com/22602-suspicious-partner/cast,Suspicious Partner, South Korea ," May 10, 2017 - Jul 13, 2017"," Wednesday, Thursday", 40, 30 min.,SBS,/people/19128-park-seon-ho,/people/18128-kwon-ki-young,"/people/806-ji-chang-wook, /people/1434-nam-ji-hyun, /people/2145-choi-tae-joon, /people/14437-nara",5528.25,16343,8.3,49448,100117,"Thriller, Comedy, Law, Romance","Cohabitation, Nice Male Lead, Hardworking Female Lead, Smart Male Lead, Tragic Past, Nice Female Lead, Ex-girlfriend Comes Back, Steamy Kiss, Strong Female Lead, Wrongfully Accused"
22,https://mydramalist.com/38627-true-beauty/cast,True Beauty, South Korea ," Dec  9, 2020 - Feb  4, 2021"," Wednesday, Thursday", 16, 1 hr. 15 min.,tvN,/people/17298-kim-sang-hyub,/people/20938-lee-si-eun,"/people/5346-moon-ga-young, /people/10399-cha-eun-woo, /people/22277-hwang-in-yeob, /people/10748-park-yoo-na",3904.25,7117,8.3,54551,97910,"Comedy, Romance, Youth, Drama","Adapted From A Webtoon, Makeover, Popular Male Lead, Beauty, High School, Hidden Identity, Beauty Standards, Nice Female Lead, Smart Male Lead, Transformation"
23,https://mydramalist.com/10873-kill-me-heal-me/cast,"Kill Me, Heal Me", South Korea ," Jan  7, 2015 - Mar 12, 2015"," Wednesday, Thursday", 20, 1 hr. 2 min.,MBC,"/people/16032-kim-jin-man, /people/16296-kim-dae-jin",/people/15944-jin-soo-wan,"/people/469-ji-sung, /people/669-hwang-jung-eum, /people/2195-park-seo-joon, /people/3216-kim-yoo-ri, /people/826-oh-min-suk",5041.4,14163,8.7,44998,97568,"Psychological, Comedy, Romance, Drama","Dissociative Identity Disorder, Trauma, Boss-Employee Relationship, Rich Male Lead, Psychiatry, Nice Male Lead, Mean Male Lead, Rich Man/Poor Woman, Psychiatrist Female Lead, Doctor Female Lead"
24,https://mydramalist.com/32293-her-private-life/cast,Her Private Life, South Korea ," Apr 10, 2019 - May 30, 2019"," Wednesday, Thursday", 16, 1 hr. 15 min.,tvN,/people/16054-hong-jong-chan,/people/24011-kim-hye-young,"/people/430-park-min-young, /people/314-kim-jae-wook",6846.5,9443,8.4,49113,96472,"Business, Comedy, Romance, Drama","Boss-Employee Relationship, Independent Female Lead, Eccentric Female Lead, Orphan Male Lead, Smart Male Lead, Calm Male Lead, Sismance, Fan Culture, Steamy Kiss, Strong Female Lead"
25,https://mydramalist.com/40257-round-six/cast,Squid Game Season 1, South Korea ," Sep 17, 2021", Friday, 9, 60 min.,Netflix,/people/23438-hwang-dong-hyuk,/people/23438-hwang-dong-hyuk,"/people/1232-lee-jung-jae, /people/2810-park-hae-soo, /people/44633-jung-ho-yeon, /people/16210-wi-ha-joon",1265.25,2533,8.5,71233,96119,"Action, Thriller, Mystery, Drama","Death Game, Death, Poor Male Lead, Debt, Competition, Gore, Survival, Murder, Game Show, Suspense"
26,https://mydramalist.com/15055-she-was-pretty/cast,She Was Pretty, South Korea ," Sep 16, 2015 - Nov 11, 2015"," Wednesday, Thursday", 16, 60 min.,MBC,/people/15943-jung-dae-yoon,/people/18697-jo-sung-hee,"/people/669-hwang-jung-eum, /people/2195-park-seo-joon, /people/1157-go-joon-hee, /people/388-choi-shi-won",5337.0,14163,8.1,48327,92615,"Comedy, Romance, Drama","Misunderstanding, Makeover, Hardworking Female Lead, Character Development, Lying, Nice Female Lead, Mean Male Lead, Sassy Female Lead, Unrequited Love, First Love"
27,https://mydramalist.com/33768-july-found-by-chance/cast,Extraordinary You, South Korea ," Oct  2, 2019 - Nov 21, 2019"," Wednesday, Thursday", 32, 35 min.,MBC,"/people/17298-kim-sang-hyub, /people/50143-kim-sang-woo","/people/33351-in-ji-hye, /people/33353-song-ha-young","/people/21677-kim-hye-yoon, /people/11629-ro-woon, /people/22279-lee-jae-wook, /people/19695-lee-na-eun, /people/19007-kim-young-dae, /people/18517-jung-gun-joo, /people/1253-lee-min-ho",1860.4285714285713,3788,8.4,44509,90862,"Comedy, Romance, Youth, Fantasy","Sassy Female Lead, Nice Male Lead, Adapted From A Webtoon, High School, Illness, Height Difference, Love Triangle, Character Development, Strong Female Lead, Amnesia"
28,https://mydramalist.com/14457-cheese-in-the-trap/cast,Cheese in the Trap, South Korea ," Jan  4, 2016 - Mar  1, 2016"," Monday, Tuesday", 16, 1 hr. 5 min.,tvN,/people/16238-lee-yoon-jung,/people/22710-kim-nam-hee,"/people/2599-kim-go-eun, /people/645-park-hae-jin, /people/6214-seo-kang-joon, /people/7660-lee-sung-kyung",6524.0,6926,7.5,43640,90031,"Psychological, Romance, Life, Drama","Adapted From A Webtoon, Rich Male Lead, Stalking, Possessive Male Lead, Love Triangle, Antihero, School Bullying, Hardworking Female Lead, Smart Female Lead, Smart Male Lead"
29,https://mydramalist.com/16119-cinderella-and-the-four-knights/cast,Cinderella and the Four Knights, South Korea ," Aug 12, 2016 - Oct  1, 2016"," Friday, Saturday", 16, 60 min.,tvN,"/people/16189-kwon-hyuk-chan, /people/58055-lee-min-woo","/people/26151-min-ji-eun, /people/26153-won-young-shil, /people/100283-lee-seung-jin","/people/7706-park-so-dam, /people/474-jung-il-woo, /people/6555-ahn-jae-hyun, /people/4058-lee-jung-shin, /people/1149-choi-min-sung, /people/4418-son-na-eun",2219.5,4319,7.8,47360,89816,"Comedy, Romance, Drama","Cohabitation, Hardworking Female Lead, Reverse-Harem, Rich Male Lead, Rich Man/Poor Woman, Cold Man/Warm Woman, Multiple Mains, Strong Female Lead, Forbidden Love, First Love"
30,https://mydramalist.com/24678-because-this-is-my-first-life/cast,Because This Is My First Life, South Korea ," Oct  9, 2017 - Nov 28, 2017"," Monday, Tuesday", 16, 1 hr. 10 min.,tvN,"/people/16362-park-joon-hwa, /people/23550-nam-sung-woo",/people/16380-yoon-nan-joong,"/people/346-jung-so-min, /people/656-lee-min-ki, /people/2540-lee-som, /people/5574-park-byung-eun, /people/2392-kim-ga-eun, /people/2215-kim-min-suk",2078.0,5456,8.5,49885,89745,"Comedy, Romance, Life, Drama","Contract Relationship, Marriage Of Convenience, Eccentric Male Lead, Multiple Couples, Multiple Mains, Cohabitation, Nerdy Male Lead, Calm Male Lead, Sismance, Cat"
31,https://mydramalist.com/54625-flower-of-evil/cast,Flower of Evil, South Korea ," Jul 29, 2020 - Sep 23, 2020"," Wednesday, Thursday", 16, 1 hr. 10 min.,tvN,"/people/15963-kim-cheol-kyu, /people/38705-yoon-jong-ho",/people/29139-yoo-jung-hee,"/people/207-lee-joon-gi, /people/1220-moon-chae-won, /people/638-jang-hee-jin, /people/6962-seo-hyun-woo",3831.25,12112,9.1,41955,89111,"Thriller, Romance, Crime, Melodrama","Deception, Family Secret, Mystery, Suspense, Smart Female Lead, Hidden Personality, Antisocial Personality Disorder, Investigation, Murder, Hidden Identity"
32,https://mydramalist.com/693591-in-house-confrontation/cast,A Business Proposal, South Korea ," Feb 28, 2022 - Apr  5, 2022"," Monday, Tuesday", 12, 60 min.,"Netflix, SBS",/people/19128-park-seon-ho,"/people/72841-han-sul-hee, /people/72843-hong-bo-hee","/people/11001-ahn-hyo-sub, /people/13855-kim-se-jung, /people/11693-kim-min-kyu, /people/14261-seol-in-ah",3059.5,5209,8.7,61306,88540,"Comedy, Romance, Drama","Boss-Employee Relationship, Fake Identity, Double Identity, Cheerful Female Lead, Contract Relationship, Blind Date, Poor Female Lead, Sismance, Company President (CEO) Male Lead, Rich Male Lead"
33,https://mydramalist.com/19048-the-k2/cast,The K2, South Korea ," Sep 23, 2016 - Nov 12, 2016"," Friday, Saturday", 16, 60 min.,tvN,/people/16610-kwak-jung-hwan,/people/16133-jang-hyuk-rin,"/people/806-ji-chang-wook, /people/972-im-yoon-ah, /people/1292-song-yoon-ah, /people/2880-jo-sung-ha",5043.5,16343,8.2,41911,86820,"Action, Thriller, Psychological, Romance","Badass Male Lead, Power Struggle, Political, Trauma, Evil Stepmother, Aggressive Male Lead, Tragic Past, Naive Female Lead, Revenge, Forgiveness"
34,https://mydramalist.com/22126-love-alarm/cast,Love Alarm, South Korea ," Aug 22, 2019", Thursday, 8, 50 min.,Netflix,/people/21348-lee-na-jung,"/people/21343-lee-ah-yeon, /people/21344-seo-bo-ra","/people/1851-kim-so-hyun, /people/9245-jung-ga-ram, /people/14472-song-kang",4629.0,8829,7.4,46534,85545,"Comedy, Romance, Youth, Drama","Mobile App, Male Chases Female First, Love Triangle, First Love, Trauma, Rich Male Lead, Adapted From A Webtoon, Tragic Past, Heartbreak, Bromance"
35,https://mydramalist.com/30894-romance-is-a-bonus-book/cast,Romance Is a Bonus Book, South Korea ," Jan 26, 2019 - Mar 17, 2019"," Saturday, Sunday", 16, 1 hr. 2 min.,"Netflix, tvN",/people/17013-lee-jung-hyo,/people/17362-jung-hyun-jung,"/people/818-lee-na-young, /people/900-lee-jong-suk, /people/9354-jung-eugene, /people/16210-wi-ha-joon",6011.75,20227,8.2,41627,85195,"Business, Comedy, Romance, Melodrama","Friends To Lovers, Cohabitation, Successful Male Lead, Smart Male Lead, Nice Male Lead, Slow Burn Romance, Older Woman/Younger Man, Secret Crush, Soulmates, Sismance"
36,https://mydramalist.com/14213-oh-my-ghostess/cast,Oh My Ghost, South Korea ," Jul  3, 2015 - Aug 22, 2015"," Friday, Saturday", 16, 60 min.,tvN,/people/16688-yoo-je-won,/people/15982-yang-hee-seung,"/people/1498-park-bo-young, /people/4837-kim-seul-gi, /people/1974-jo-jung-suk, /people/577-im-joo-hwan",4184.5,8244,8.3,44310,83555,"Thriller, Comedy, Romance, Supernatural","Boss-Employee Relationship, Identity Swap, Hardworking Male Lead, Successful Male Lead, Ghost-seeing Female Lead, Sismance, Love Triangle, Cold Man/Warm Woman, Female Chases Male First, Shamanism"
37,https://mydramalist.com/15062-oh-my-venus/cast,Oh My Venus, South Korea ," Nov 16, 2015 - Jan  5, 2016"," Monday, Tuesday", 16, 60 min.,KBS2,"/people/21105-kim-hyoung-seok, /people/21348-lee-na-jung",/people/18129-kim-eun-ji,"/people/493-so-ji-sub, /people/282-shin-min-ah, /people/542-jung-gyu-woon, /people/834-yoo-in-young",3036.25,6590,8.3,45062,83168,"Comedy, Law, Romance, Life","Weight Loss, Makeover, Cohabitation, Body Image, Bromance, Rich Male Lead, Hidden Identity, Hardworking Male Lead, Hardworking Female Lead, Steamy Kiss"
38,https://mydramalist.com/15931-hwarang-the-poet-warrior-youth/cast,Hwarang, South Korea ," Dec 19, 2016 - Feb 21, 2017"," Monday, Tuesday", 20, 60 min.,KBS2,"/people/18914-yoon-sung-shik, /people/26807-kim-young-jo",/people/21090-park-eun-young,"/people/2195-park-seo-joon, /people/1287-go-ah-ra, /people/3014-park-hyung-shik",9249.333333333334,14163,8.0,37928,82877,"Action, Historical, Comedy, Romance","Hwarang, Bromance, Love Triangle, Strong Male Lead, Sword-fight, Identity Swap, Silla Dynasty, Competition, Jinheung, Nice Male Lead"
39,https://mydramalist.com/6993-i-hear-your-voice/cast,I Hear Your Voice, South Korea ," Jun  5, 2013 - Aug  1, 2013"," Wednesday, Thursday", 18, 60 min.,SBS,/people/15971-jo-soo-won,/people/15970-park-hye-ryun,"/people/900-lee-jong-suk, /people/1435-lee-bo-young, /people/188-yoon-sang-hyun, /people/1736-lee-da-hee",6238.0,20227,8.5,41480,82713,"Mystery, Law, Romance, Supernatural","Special Power, Revenge, Smart Female Lead, Trauma, Strong Female Lead, Older Woman/Younger Man, Male Chases Female First, Mind Reading, Love Triangle, Cohabitation"
40,https://mydramalist.com/13544-reply-1988/cast,Reply 1988, South Korea ," Nov  6, 2015 - Jan 16, 2016"," Friday, Saturday", 20, 1 hr. 35 min.,tvN,"/people/16228-shin-won-ho, /people/20109-yoo-hak-chan",/people/17163-lee-woo-jung,"/people/2664-hyeri, /people/2374-go-kyung-pyo, /people/9534-ryu-joon-yeol, /people/4157-park-bo-gum, /people/7505-lee-dong-hwi",3565.4,10470,9.1,36478,82373,"Comedy, Romance, Life, Youth","Nostalgia, Multiple Couples, Poor Family, Love Triangle, Heartfelt, High School, Friendship, Mother-Son Relationship, Coming Of Age, Bromance"
41,https://mydramalist.com/35039-the-king-the-eternal-monarch/cast,The King: Eternal Monarch, South Korea ," Apr 17, 2020 - Jun 12, 2020"," Friday, Saturday", 16, 1 hr. 10 min.,"Netflix, SBS","/people/16019-baek-sang-hoon, /people/21764-jung-ji-hyun, /people/16688-yoo-je-won",/people/15905-kim-eun-sook,"/people/232-lee-min-ho, /people/2599-kim-go-eun, /people/11745-woo-do-hwan, /people/504-lee-jung-jin, /people/16105-kim-kyung-nam, /people/1144-jung-eun-chae",4497.166666666667,13604,8.1,41155,81107,"Mystery, Romance, Drama, Sci-Fi","Parallel Universe, Doppelganger, Royal Family, Male Lead Saves Female Lead, Royalty, Male Chases Female First, Murder, Evil Uncle, Monarchy, Treason"
42,https://mydramalist.com/30817-touch-your-heart/cast,Touch Your Heart, South Korea ," Feb  6, 2019 - Mar 28, 2019"," Wednesday, Thursday", 16, 1 hr. 10 min.,tvN,/people/16362-park-joon-hwa,"/people/22628-lee-myung-seok, /people/18338-choi-bo-rim","/people/274-lee-dong-wook, /people/633-yoo-in-na, /people/1782-lee-sang-woo, /people/3247-son-sung-yoon",4392.75,11700,8.3,39252,80196,"Comedy, Law, Romance, Drama","Famous Lead/Common Lead, Law Firm, Hardworking Male Lead, Hardworking Female Lead, Nice Male Lead, Calm Male Lead, Opposites Attract, Smart Male Lead, Smart Female Lead, Naive Female Lead"
43,https://mydramalist.com/9289-its-okay-thats-love/cast,"It's Okay, That's Love", South Korea ," Jul 23, 2014 - Sep 11, 2014"," Wednesday, Thursday", 16, 60 min.,SBS,/people/15913-kim-kyu-tae,/people/15904-noh-hee-kyung,"/people/433-jo-in-sung, /people/807-gong-hyo-jin",4100.5,4902,8.6,38741,79123,"Psychological, Comedy, Romance, Drama","Strong Female Lead, Psychiatry, Trauma, Healing, Adult Romance, Melodrama, Cohabitation, Rich Male Lead, Hallucination, Cheerful Male Lead"
44,https://mydramalist.com/36269-doctor-playbook/cast,Hospital Playlist Season 1, South Korea ," Mar 12, 2020 - May 28, 2020", Thursday, 12, 1 hr. 30 min.,"Netflix, tvN",/people/16228-shin-won-ho,/people/17163-lee-woo-jung,"/people/1974-jo-jung-suk, /people/1908-yoo-yeon-seok, /people/698-jung-kyung-ho, /people/7712-kim-dae-myung, /people/30283-jeun-mi-do",2319.0,4226,9.1,35627,78006,"Romance, Life, Drama, Medical","Multiple Mains, Slow Romance, Multiple Couples, Strong Female Lead, Slight Romance, Nice Male Lead, Bromance, Nice Female Lead, Heartfelt, Music"
